,TotalDemand,Price,Date,Time,Tmax,MeanPrice,Year,Quarter
47,5768.52333,13.79,2000-01-02,00:00:00,21.1,32.14843105817682,2000,1
95,5962.395,14.01,2000-01-03,00:00:00,25.6,32.14843105817682,2000,1
143,6544.13,14.27,2000-01-04,00:00:00,31.8,32.14843105817682,2000,1
191,7032.23,16.1,2000-01-05,00:00:00,24.0,32.14843105817682,2000,1
239,7067.16167,14.86,2000-01-06,00:00:00,20.7,32.14843105817682,2000,1
287,7139.41,14.42,2000-01-07,00:00:00,19.8,32.14843105817682,2000,1
335,7090.65667,17.87,2000-01-08,00:00:00,21.9,32.14843105817682,2000,1
383,6237.335,14.24,2000-01-09,00:00:00,22.5,32.14843105817682,2000,1
431,6247.01333,14.21,2000-01-10,00:00:00,24.1,32.14843105817682,2000,1
479,7255.81667,28.72,2000-01-11,00:00:00,23.4,32.14843105817682,2000,1
527,7376.555,36.25,2000-01-12,00:00:00,24.1,32.14843105817682,2000,1
575,7314.40167,29.43,2000-01-13,00:00:00,23.8,32.14843105817682,2000,1
623,7369.26333,33.42,2000-01-14,00:00:00,24.1,32.14843105817682,2000,1
671,7275.03333,39.82,2000-01-15,00:00:00,26.5,32.14843105817682,2000,1
719,6503.495,20.14,2000-01-16,00:00:00,30.2,32.14843105817682,2000,1
767,6550.465,19.21,2000-01-17,00:00:00,21.8,32.14843105817682,2000,1
815,7391.93333,23.77,2000-01-18,00:00:00,25.9,32.14843105817682,2000,1
863,7552.26,30.46,2000-01-19,00:00:00,35.8,32.14843105817682,2000,1
911,7461.18833,23.32,2000-01-20,00:00:00,33.1,32.14843105817682,2000,1
959,7716.78167,27.77,2000-01-21,00:00:00,32.5,32.14843105817682,2000,1
1007,7457.82833,30.17,2000-01-22,00:00:00,25.1,32.14843105817682,2000,1
1055,6497.82333,24.53,2000-01-23,00:00:00,21.7,32.14843105817682,2000,1
1103,6459.65833,32.86,2000-01-24,00:00:00,22.1,32.14843105817682,2000,1
1151,7437.165,31.88,2000-01-25,00:00:00,23.5,32.14843105817682,2000,1
1199,7371.38,31.4,2000-01-26,00:00:00,27.7,32.14843105817682,2000,1
1247,7064.905,36.06,2000-01-27,00:00:00,24.0,32.14843105817682,2000,1
1295,7403.54167,26.49,2000-01-28,00:00:00,23.6,32.14843105817682,2000,1
1343,7291.09333,34.24,2000-01-29,00:00:00,22.7,32.14843105817682,2000,1
1391,6439.68833,24.2,2000-01-30,00:00:00,22.9,32.14843105817682,2000,1
1439,6459.11,24.68,2000-01-31,00:00:00,25.3,32.14843105817682,2000,1
1487,7514.73167,34.18,2000-02-01,00:00:00,26.8,32.14843105817682,2000,1
1535,7526.89,31.33,2000-02-02,00:00:00,28.0,32.14843105817682,2000,1
1583,7572.005,37.95,2000-02-03,00:00:00,29.1,32.14843105817682,2000,1
1631,7702.82167,28.85,2000-02-04,00:00:00,30.6,32.14843105817682,2000,1
1679,7666.34333,33.82,2000-02-05,00:00:00,38.5,32.14843105817682,2000,1
1727,7002.01333,27.29,2000-02-06,00:00:00,22.6,32.14843105817682,2000,1
1775,6565.35,22.03,2000-02-07,00:00:00,28.5,32.14843105817682,2000,1
1823,7548.525,28.62,2000-02-08,00:00:00,29.5,32.14843105817682,2000,1
1871,7592.65,31.53,2000-02-09,00:00:00,33.3,32.14843105817682,2000,1
1919,7710.27333,30.99,2000-02-10,00:00:00,30.5,32.14843105817682,2000,1
1967,7590.99167,41.45,2000-02-11,00:00:00,37.7,32.14843105817682,2000,1
2015,7525.81333,20.66,2000-02-12,00:00:00,25.8,32.14843105817682,2000,1
2063,6448.36333,13.14,2000-02-13,00:00:00,22.8,32.14843105817682,2000,1
2111,6328.63,13.21,2000-02-14,00:00:00,23.2,32.14843105817682,2000,1
2159,7411.72833,20.41,2000-02-15,00:00:00,22.7,32.14843105817682,2000,1
2207,7417.86167,24.47,2000-02-16,00:00:00,27.3,32.14843105817682,2000,1
2255,7455.56833,20.57,2000-02-17,00:00:00,27.8,32.14843105817682,2000,1
2303,7529.77,19.96,2000-02-18,00:00:00,28.1,32.14843105817682,2000,1
2351,7368.5,19.76,2000-02-19,00:00:00,28.2,32.14843105817682,2000,1
2399,6644.16167,23.88,2000-02-20,00:00:00,30.5,32.14843105817682,2000,1
2447,6537.45833,19.71,2000-02-21,00:00:00,26.8,32.14843105817682,2000,1
2495,7472.35833,22.61,2000-02-22,00:00:00,28.1,32.14843105817682,2000,1
2543,7491.58,24.67,2000-02-23,00:00:00,28.8,32.14843105817682,2000,1
2591,7503.34667,27.62,2000-02-24,00:00:00,28.5,32.14843105817682,2000,1
2639,7537.075,41.75,2000-02-25,00:00:00,28.8,32.14843105817682,2000,1
2687,7390.53,35.61,2000-02-26,00:00:00,29.4,32.14843105817682,2000,1
2735,6677.055,16.81,2000-02-27,00:00:00,22.8,32.14843105817682,2000,1
